인증구분,인증번호,기업명,인증의 범위,유효기간
ISMS-P,ISMS-P-KISA-2025-021,(주) 부산도시가스,"도시가스 고객관리 서비스(도시가스 홈페이지, SAP, LSCP, 스마트 서비스 2015, TSMS, TSRM, DIMS, E-accounting)",2025-05-07~2028-05-06
ISMS-P,ISMS-P-KISA-2025-020,코원에너지서비스 (주),"도시가스 고객관리 서비스(도시가스 홈페이지, SAP, LSCP, 스마트 서비스 2015, TSMS, TSRM, DIMS, E-accounting)",2025-05-07~2028-05-06
ISMS,ISMS-KISA-2025-046,(주)다우기술,"인터넷 발송 (비즈뿌리오, 유핏, 비즈애드콘, 애드콘비즈), 인터넷 쇼핑몰 관리 (사방넷, 사방넷미니, 사방넷 풀필먼트),그룹웨어 (다우오피스),IDC 서비스 (코로케이션, 호스팅, 클라우드, CDN, IDC 홈페이지), 파일공유서비스 (다우싱크), 도메인 서비스 (반값 도메인), 채용",2025-05-07~2028-05-06
ISMS,ISMS-KISA-2025-045,(주)섹타나인,"해피포인트카드 서비스, 해피콘 서비스, 해피오더 서비스, 선물하기 서비스",2025-05-07~2028-05-06
ISMS,ISMS-KISA-2025-044,액티스데이터센터안양 유한회사,집적정보통신시설(IDC) 운영,2025-05-07~2028-05-06
ISMS,ISMS-KISA-2025-043,빌포스트 주식회사,DM제작 인프라 운영,2025-05-07~2028-05-06
ISMS,ISMS-KISA-2025-042,이스트시큐리티,보안 솔루션 개발 및 운영,2025-05-07~2028-05-06
ISMS-P,ISMS-P-KISA-2025-019,롯데이노베이트(주),롯데이노베이트 L.Cloud 서비스 운영,2025-04-16~2028-04-15
ISMS-P,ISMS-P-KISA-2025-018,(주) 공영홈쇼핑,"공영홈쇼핑 서비스 운영 (온라인몰, 영업시스템, 협력사시스템, 전자계약, 콜센터)",2025-04-16~2028-04-15
ISMS-P,ISMS-P-KISA-2025-017,한국교육방송공사,EBS 교육 포털 웹서비스,2025-04-16~2028-04-15
ISMS,ISMS-KISA-2025-041,두나무 주식회사,증권플러스 등 서비스 운영,2025-04-16~2028-04-15
ISMS,ISMS-KISA-2025-040,(주) 한국얀센,JJCC(한국얀센고객주문시스템) 및 대외 서비스 (환자 및 의료진 대상)(심사받지 않은 물리적 인프라 제외),2025-04-16~2028-04-15
ISMS,ISMS-KISA-2025-039,(주)인피니티익스체인지코리아,가상자산 거래소 인엑스(INEX) 서비스 운영,2025-04-16~2028-04-15
ISMS-P,ISMS-P-KISA-2025-016,주식회사 한국신용데이터,캐시노트 서비스,2025-04-02~2028-04-01
ISMS,ISMS-KISA-2025-038,(주)해커스어학원,온라인 수강신청 서비스 운영(정보통신망법 제47조의7에 따른 인증의 특례),2025-04-02~2028-04-01
ISMS,ISMS-KISA-2025-037,(주)여기어때투어,온라인 여행 서비스 운영(온라인투어)(정보통신망법 제47조의7에 따른 인증의 특례),2025-04-02~2028-04-01
ISMS,ISMS-KISA-2025-036,이지샵 주식회사,이지샵 자동장부,2025-04-02~2028-04-01
ISMS-P,ISMS-P-KISA-2025-015,케이티커머스(주),"B2B 온라인 쇼핑몰(통합구매플랫폼, 메타온), 렌탈 및 복지, 보험 서비스",2025-03-19~2028-03-18
ISMS-P,ISMS-P-KISA-2025-014,(주)문피아,문피아 웹 소설 서비스,2025-03-19~2028-03-18
ISMS-P,ISMS-P-KISA-2025-013,중앙선거관리위원회,사전투표 통합명부 운영,2025-03-19~2028-03-18
ISMS-P,ISMS-P-KISA-2025-012,이트너스(주),인사·총무 경영지원 서비스 통합 운영 시스템(ESRM) (정보통신망법 제47조의7에 따른 인증의 특례),2025-03-19~2028-03-18
ISMS,ISMS-KISA-2025-035,원광대학교병원,의료정보시스템(EMR/OCS) 및 홈페이지 서비스 운영,2025-03-19~2028-03-18
ISMS,ISMS-KISA-2025-034,(주)섹타나인,VAN 서비스,2025-03-19~2028-03-18
ISMS,ISMS-KISA-2025-033,주식회사 옴니케어,헬스케어 서비스 운영 부문,2025-03-19~2028-03-18
ISMS,ISMS-KISA-2025-032,모요,모요 서비스(moyoplan.com) 및 앱 운영,2025-03-19~2028-03-18
ISMS,ISMS-KISA-2025-031,(주)런이십일,온라인 쇼핑몰 운영 (런이십일),2025-03-19~2028-03-18
ISMS,ISMS-KISA-2025-030,중소기업중앙회,노란우산 디지털공제서비스,2025-03-19~2028-03-18
ISMS,ISMS-FSI-2025-003,서민금융진흥원,"대국민 서비스 운영(대표 WEB/APP, 서민금융 잇다, 휴면예금, 금융교육)",2025-03-19~2028-03-18
ISMS-P,ISMS-P-KISA-2025-011,한국도로공사,한국도로공사 통행료 홈페이지(회원정보) 운영,2025-03-05~2028-03-04
ISMS-P,ISMS-P-KISA-2025-010,(주) 크래프톤,온라인 게임 개발 및 서비스 운영 (심사받지 않은 물리적 인프라 제외),2025-03-05~2028-03-04
ISMS,ISMS-KISA-2025-029,주식회사 이랜드리테일,"이랜드리테일 온라인 서비스 운영 (문화센터,이멤버, 이몰)",2025-03-05~2028-03-04
ISMS,ISMS-KISA-2025-028,주식회사 제타큐브,가상자산 예치 및 유동화 서비스 (고시 제18조의2에 따른 예비인증),2025-03-05~2028-03-04
ISMS,ISMS-KISA-2025-027,주식회사 레몬베이스,Lemonbase 서비스 운영,2025-03-05~2028-03-04
ISMS,ISMS-KISA-2025-026,비댁스 주식회사,가상자산 수탁 보관 및 이전 서비스,2025-03-05~2028-03-04
ISMS,ISMS-KISA-2025-025,롯데쇼핑(주) e커머스사업본부,인터넷 쇼핑몰 운영(롯데ON),2025-03-05~2028-03-04
ISMS-P,ISMS-P-KISA-2025-009,(주)현대백화점,"현대백화점 온라인 서비스(백화점, 아울렛, H.Point, TCP, 백화점 카드, 문화센터, 어린이책미술관), 온라인 쇼핑몰 서비스(더현대닷컴, 현대식품관 to Home), 해외 브랜드 서비스(COS, &Otherstories, Arket)",2025-02-19~2028-02-18
ISMS-P,ISMS-P-KISA-2025-008,삼성에스디에스(주),Samsung Cloud Platform 클라우드 서비스,2025-02-19~2028-02-18
ISMS-P,ISMS-P-KISA-2025-007,한화생명금융서비스(주),"오렌지트리, 오렌지터치, 리크루팅앱 서비스 운영",2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-024,삼성에스디에스(주),"IDC 운영(집적정보통신시설(IDC) 운영 서비스 및 보안관제, 네트워크 서비스), ISP 서비스 운영(물류서비스 및 부가서비스)",2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-023,한국조폐공사,"한국조폐공사 온라인 서비스 운영 (화폐박물관, 쇼핑몰, 지급결제 플랫폼(chak), 구매관리, 수무늬)",2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-022,건양사이버대학교,원격교육시스템 운영,2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-021,주식회사 트립비토즈,온라인 여행플랫폼 서비스 (정보통신망법 제47조의7에 따른 인증의 특례),2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-020,주식회사 하이픈코퍼레이션,"데이터마켓, 선불결제(바로계좌결제), 펌뱅킹(뱅킹플러스, OK지로, PG) 서비스 운영",2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-019,(주) 드림어스컴퍼니,온라인 음악 서비스(FLO) 및 엔터테인먼트 관련 상품 판매 서비스 운영,2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-018,주식회사 정육각,인터넷 쇼핑몰 운영(정육각) (심사받지 않은 물리적 인프라 제외) (정보통신망법 제47조의7에 따른 인증의 특례),2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-017,"주식회사 노랑풍선 (Yellow Balloon Co., Ltd.)",인터넷 예약시스템 운영,2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-016,주식회사 로지올,생각대로 배달대행 플랫폼 구축 및 운영 (정보통신망법 제47조의7에 따른 인증의 특례),2025-02-19~2028-02-18
ISMS,ISMS-KISA-2025-015,(주)디에스알브이랩스,가상자산 보관관리(커스터디) 서비스 운영,2025-02-19~2028-02-18
ISMS,ISMS-FSI-2025-002,하나캐피탈,대고객 인터넷 공개서비스 운영,2025-02-11~2028-02-10
ISMS,ISMS-FSI-2025-001,한국전자금융(주),"CD VAN 및 ATM, 전기차 충전, 무인 주차장, KIOSK 관리 서비스 운영 (심사받지 않은 물리적 인프라 제외)",2025-02-11~2028-02-10
ISMS-P,ISMS-P-KISA-2025-006,주식회사 진인프라,"클라우드 포털 서비스 운영(MSP), 통합관제서비스 운영",2025-02-05~2028-02-04
ISMS-P,ISMS-P-KISA-2025-005,주식회사 카카오모빌리티,카카오모빌리티 서비스 운영,2025-02-05~2028-02-04
ISMS-P,ISMS-P-KISA-2025-004,씨제이 푸드빌 (주),"CJ푸드빌 브랜드앱 및 홈페이지 (대표홈페이지, 뚜레쥬르, 빕스, 더플레이스, 제일제면소, N서울타워, 셰프고, 점포경영)",2025-02-05~2028-02-04
ISMS-P,ISMS-P-KISA-2025-003,라이징윙스 주식회사,모바일 게임 개발 및 서비스 운영 (심사받지 않은 물리적 인프라 제외),2025-02-05~2028-02-04
ISMS-P,ISMS-P-KISA-2025-002,카카오엔터프라이즈,"카카오엔터프라이즈 (카카오클라우드, 카카오 i LaaS, CenterFlow) 서비스 운영",2025-02-05~2028-02-04
ISMS,ISMS-KISA-2025-014,주식회사 한국존슨앤드존슨비전,마이아큐브(MyACUVUE) 서비스 운영(심사받지 않은 물리적 인프라 제외),2025-02-05~2028-02-04
ISMS,ISMS-KISA-2025-013,라온시큐어(주),"카드본인확인 및 USIM 간편인증/스마트인증, 스마트 안티피싱, 옴니원 통합인증 서비스 운영",2025-02-05~2028-02-04
ISMS,ISMS-KISA-2025-012,한국레노버 유한회사,한국레노버 온라인 서비스 운영(심사받지 않은 물리적 인프라 제외),2025-02-05~2028-02-04
ISMS,ISMS-KISA-2025-011,(주)동원홈푸드,온라인 쇼핑몰 서비스 운영(금천미트),2025-02-05~2028-02-04
ISMS-P,ISMS-P-KISA-2025-001,한국서부발전주식회사,"한국서부발전 대외 서비스(사외홈페이지, 출입관리, 제안서평가, 계좌등록)",2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-010,한국정보인증주식회사,"S-PASS인증서비스, 사설인증서비스, FIDO생체인증서비스, 부가 서비스, 증명발급서비스",2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-009,(주) 한섬,"온라인 쇼핑몰 서비스 운영(더한섬닷컴, H패션몰, EQLstore, LONDON UNDERGROUND), KITH, 홈페이지",2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-008,영남대학교의료원,"의료정보시스템(EMR, OCS) 및 홈페이지 서비스 운영",2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-007,(주)케어랩스,"플랫폼(CRM, 메디잡, 온라인광고) 서비스 제공 및 온라인 서비스 운영(심사받지 않은 물리적 인프라 제외)",2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-006,주식회사 헥토이노베이션,"온라인 서비스 개발 및 운영 (정보도용차단서비스, 생활정보서비스, 자산관리정보서비스)",2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-005,(주)아워홈,아워홈 대외 서비스 운영(쇼핑몰 및 식자재 발주시스템),2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-004,주식회사 컬리,컬리몰 서비스 개발·운영(온라인 및 배송 서비스 포함),2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-003,웍스피어 유한책임회사,"채용관리시스템(나인하이어), nooc, klik",2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-002,(주)소노인터내셔널,소노호텔앤리조트 인터넷 예약 서비스,2025-01-15~2028-01-14
ISMS,ISMS-KISA-2025-001,주식회사 크몽,온라인 플랫폼 서비스 운영(크몽)(심사받지 않은 물리적 인프라 제외),2025-01-15~2028-01-14
ISMS-P,ISMS-P-KISA-2024-058,스타일이십사 주식회사,스타일24 쇼핑몰 운영,2024-12-18~2027-12-17
ISMS-P,ISMS-P-KISA-2024-057,에스케이텔레콤 (주),"이동전화 고객관리 서비스(T world, T멤버십, Swing 등)",2024-12-18~2027-12-17
ISMS,ISMS-KISA-2024-144,(주)커넥티비티,SPOTV NOW 서비스 운영,2024-12-18~2027-12-17
ISMS,ISMS-KISA-2024-143,한국열린사이버대학교,원격교육시스템 운영(한국열린사이버대학교 및 OCU컨소시엄),2024-12-18~2027-12-17
ISMS,ISMS-KISA-2024-142,(주)엔에스쇼핑,온라인 쇼핑몰 서비스 운영(NS MALL),2024-12-18~2027-12-17
ISMS,ISMS-KISA-2024-141,롯데쇼핑(주)롯데마트사업본부,"롯데마트·슈퍼 온라인 서비스 (회사소개, 롯데마트GO, 보틀벙커, 문화센터, 채용, SRM(협력사포털))",2024-12-18~2027-12-17
ISMS,ISMS-KISA-2024-140,(주) 이스트소프트,"이스트소프트 서비스(알툴즈, 페르소, 피크닉) 운영",2024-12-18~2027-12-17
ISMS,ISMS-KISA-2024-139,테슬라코리아 유한회사,테슬라코리아 온라인 서비스 운영(심사받지 않은 물리적 인프라 제외),2024-12-18~2027-12-17
ISMS,ISMS-KISA-2024-138,(주)토스모바일,MVNO(알뜰폰) 이동통신 서비스,2024-12-18~2027-12-17
ISMS,ISMS-KISA-2024-137,주식회사 블루엠텍,"온라인 서비스 운영(블루팜코리아, 쿨팜, 블루엠텍, 블루피드, 블루랩스, 블루닥)",2024-12-18~2027-12-17
ISMS,ISMS-FSI-2024-014,KB금융지주,KB금융지주 정보시스템 및 홈페이지 운영(심사받지 않은 물리적 인프라 제외),2024-12-17~2027-12-16
ISMS,ISMS-FSI-2024-013,주식회사 더즌,전자금융서비스 및 부가서비스(심사받지 않은 물리적 인프라 제외),2024-12-17~2027-12-16
ISMS-P,ISMS-P-KISA-2024-056,주식회사 LF,"온라인 쇼핑몰 및 대외서비스 운영(LFmall, LF Members, Brand Mall, 채용, 대표홈페이지)",2024-12-04~2027-12-03
ISMS-P,ISMS-P-KISA-2024-055,씨제이올리브영 주식회사,"온라인 쇼핑몰 운영(올리브영 국내, 올리브영 글로벌, 디플롯)",2024-12-04~2027-12-03
ISMS-P,ISMS-P-KISA-2024-054,주식회사 코인원,가상자산 거래서비스(코인원),2024-12-04~2027-12-03
ISMS-P,ISMS-P-KISA-2024-053,주식회사 카카오헬스케어,카카오헬스케어 온라인 서비스,2024-12-04~2027-12-03
ISMS,ISMS-KISA-2024-136,(재)한국의학연구소,건강검진서비스(KICS) 및 홈페이지 서비스 운영,2024-12-04~2027-12-03
ISMS,ISMS-KISA-2024-135,(주)더네이쳐홀딩스,"온라인 쇼핑몰 운영(엔스테이션몰,마크곤잘레스몰,브롬톤런던몰)(심사받지 않은 물리적 인프라 제외)",2024-12-04~2027-12-03
ISMS,ISMS-KISA-2024-134,엔에이치엔클라우드 주식회사,"NHN 호스팅, NHN 도메인, AppPaaS",2024-12-04~2027-12-03
ISMS,ISMS-KISA-2024-133,세종네트웍스 주식회사,"ISP, IDC, 정보통신서비스(웹팩스, 메시지, 트로이컷, 뷰포유)",2024-12-04~2027-12-03
ISMS,ISMS-KISA-2024-132,세종텔레콤(주),"비브릭 서비스(비가상자산 분야, 비브릭코인 발급 제외)",2024-12-04~2027-12-03
ISMS,ISMS-KISA-2024-131,세종텔레콤(주),"정보통신서비스(스노우맨, 세종CCTV, 모바일앱)",2024-12-04~2027-12-03
ISMS,ISMS-KISA-2024-130,주식회사 디지털대성,"교육 서비스 운영 (대성마이맥, 한우리열린교육, 소속학원시스템)",2024-12-04~2027-12-03
ISMS-P,ISMS-P-FSI-2024-014,케이비증권,"전자금융서비스(트레이딩, 뱅킹, 금융상품, 종합자산관리, 투자정보)(심사받지 않은 물리적 인프라 제외)",2024-11-26~2027-11-25
ISMS,ISMS-FSI-2024-012,쿠콘,"체크페이, 쿠콘닷넷, 마이데이터, 펌뱅킹, 가상계좌, 금융상품비교 서비스 운영",2024-11-26~2027-11-25
ISMS,ISMS-FSI-2024-011,나이스정보통신(주),"VAN, 선불전자금융, TRS 서비스 운영",2024-11-26~2027-11-25
ISMS,ISMS-FSI-2024-010,주식회사 애큐온저축은행,"인터넷뱅킹 서비스 운영(웹, 모바일)",2024-11-26~2027-11-25
ISMS-P,ISMS-P-KISA-2024-052,주식회사 카카오게임즈,온라인게임 서비스 운영(카카오게임즈),2024-11-20~2027-11-19
ISMS-P,ISMS-P-KISA-2024-051,주식회사 웰로,웰로 서비스 및 웰로비즈 서비스,2024-11-20~2027-11-19
ISMS-P,ISMS-P-KISA-2024-050,캐논코리아(주),"캐논코리아 온라인 쇼핑몰 운영 (e스토어, 비즈몰)",2024-11-20~2027-11-19
ISMS-P,ISMS-P-KISA-2024-049,주식회사 엘엑스판토스,이전설치 서비스,2024-11-20~2027-11-19
ISMS-P,ISMS-P-KISA-2024-048,롯데이노베이트(주),롯데이노베이트 빅데이터 플랫폼 (스마트리온) 홈페이지 회원 서비스,2024-11-20~2027-11-19
ISMS-P,ISMS-P-KISA-2024-047,(주)골프존,"골프존 서비스 (스크린골프 웹/모바일 서비스, 인터넷 쇼핑몰 운영, 모바일 게임 서비스)",2024-11-20~2027-11-19
ISMS-P,ISMS-P-KISA-2024-046,네이버제트 주식회사,네이버 제트 웹/앱 모바일 서비스 운영,2024-11-20~2027-11-19
ISMS-P,ISMS-P-KISA-2024-045,크림 주식회사,크림 웹/모바일 서비스 운영,2024-11-20~2027-11-19
ISMS-P,ISMS-P-KISA-2024-044,스노우 주식회사,스노우 웹/모바일 서비스 운영,2024-11-20~2027-11-19
ISMS,ISMS-KISA-2024-129,백석대학교,"학사정보시스템 운영(학사관리, 증명발급)",2024-11-20~2027-11-19
ISMS,ISMS-KISA-2024-128,대상주식회사,"대상(주) B2C서비스(대표누리집, 청정원, 종가, 미원, 쉐프원, 감별마켓, 베스트온) 운영",2024-11-20~2027-11-19
ISMS,ISMS-KISA-2024-127,주식회사 엘엑스판토스,특송 서비스,2024-11-20~2027-11-19
ISMS,ISMS-KISA-2024-126,주식회사 카카오,카카오 데이터센터 운영,2024-11-20~2027-11-19
ISMS,ISMS-KISA-2024-125,롯데이노베이트(주),롯데이노베이트 빅데이터 플랫폼(스마트리온) 운영,2024-11-20~2027-11-19
ISMS,ISMS-KISA-2024-124,주식회사 아난티코브,아난티코브 회원관리 및 예약 서비스 운영,2024-11-20~2027-11-19
ISMS,ISMS-KISA-2024-123,주식회사 아난티,"아난티 회원관리, 예약, 쇼핑몰 서비스 운영",2024-11-20~2027-11-19
ISMS-P,ISMS-P-KISA-2024-043,삼성웰스토리(주),"홈페이지(Welstory+), 웰스토리몰, 도래미, SRM 서비스",2024-11-06~2027-11-05
ISMS-P,ISMS-P-KISA-2024-042,(주)디앤오,"대표홈페이지, 곤지암리조트 및 골프클럽 대고객 서비스 관리 및 운영",2024-11-06~2027-11-05
ISMS-P,ISMS-P-KISA-2024-041,에스케이 플래닛(주),"OK캐쉬백, Syrup",2024-11-06~2027-11-05
ISMS-P,ISMS-P-KISA-2024-040,(주)케이티에스테이트,부동산 서비스 및 인프라 운영,2024-11-06~2027-11-05
ISMS-P,ISMS-P-KISA-2024-039,(주)공감만세,고향사랑기부제 위기브 서비스(뉴스레터)(심사받지 않은 물리적 인프라 제외),2024-11-06~2027-11-05
ISMS-P,ISMS-P-KISA-2024-038,(주) 에임메드,헬스케어 (건강검진 및 관리) 서비스 운영,2024-11-06~2027-11-05
ISMS,ISMS-KISA-2024-122,서울특별시 데이터센터,"서울특별시 데이터센터운영 (조직, 정보시스템, 각종 시설)",2024-11-06~2027-11-05
ISMS,ISMS-KISA-2024-121,에스케이 플래닛(주),SK플래닛 대외서비스 운영(심사받지 않은 물리적 인프라 제외),2024-11-06~2027-11-05
ISMS,ISMS-KISA-2024-120,(주) 베베쿡,베베쿡 온라인몰 서비스 운영,2024-11-06~2027-11-05
ISMS,ISMS-KISA-2024-119,(주)백패커,"온라인 플랫폼 운영 (아이디어스,텀블벅) (심사받지 않은 물리적 인프라 제외)",2024-11-06~2027-11-05
ISMS,ISMS-KISA-2024-118,주식회사 라포랩스,퀸잇 온라인 서비스 운영,2024-11-06~2027-11-05
ISMS-P,ISMS-P-FSI-2024-013,농협은행,"인터넷뱅킹 서비스(웹, 모바일)(심사받지 않은 물리적 인프라 제외)",2024-10-29~2027-10-28
ISMS,ISMS-FSI-2024-009,농협은행,"NH IT센터 운영(의왕, 안성)",2024-10-29~2027-10-28
ISMS,ISMS-FSI-2024-008,롯데손해보험주식회사,"대고객 전자금융거래 서비스 운영(공식홈페이지, 다이렉트 홈페이지, ALICE)",2024-10-29~2027-10-28
ISMS,ISMS-FSI-2024-007,페이레터(주),전자지급결제대행(PG) 서비스 운영(심사받지 않은 물리적 인프라 제외),2024-10-29~2027-10-28
ISMS-P,ISMS-P-KISA-2024-037,네이버클라우드 주식회사,네이버클라우드 서비스,2024-10-16~2027-10-15
ISMS-P,ISMS-P-KISA-2024-036,롯데멤버스(주),"온라인 서비스 운영(L.POINT(멤버쉽,포인트), L.pay(간편결제), 라임(리서치), LTAS(TM))",2024-10-16~2027-10-15
ISMS-P,ISMS-P-KISA-2024-035,주식회사 네오위즈,인터넷 게임서비스(피망) 운영(심사받지 않은 물리적 인프라 제외),2024-10-16~2027-10-15
ISMS-P,ISMS-P-KISA-2024-034,지에스건설(주),엘리시안 강촌/제주 리조트 서비스 운영,2024-10-16~2027-10-15
ISMS,ISMS-KISA-2024-117,(주)이월드 쥬얼리사업부 가산,이월드 쥬얼리사업부 온라인 서비스 운영,2024-10-16~2027-10-15
ISMS,ISMS-KISA-2024-116,(주)서브원,"B2B 온라인 구매 관련 정보시스템 운영(MRO, SSP, G-Lab, 서브메이트, 오너하이, V-멤버스)",2024-10-16~2027-10-15
ISMS,ISMS-KISA-2024-115,삼성물산(주) 상사부문,삼성물산 주식회사 상사부문 온라인 서비스(상사 홈페이지),2024-10-16~2027-10-15
ISMS,ISMS-KISA-2024-114,삼성물산(주),삼성물산 주식회사 건설부문 온라인 서비스(대표/건설/래미안 홈페이지 및 홈닉 서비스),2024-10-16~2027-10-15
ISMS,ISMS-KISA-2024-113,네이버클라우드 주식회사,"IT 플랫폼 운영 서비스, 인터넷 데이터센터 운영",2024-10-16~2027-10-15
ISMS,ISMS-KISA-2024-112,네이버(주),네이버 데이터센터(´각´) 운영,2024-10-16~2027-10-15
ISMS,ISMS-KISA-2024-111,주식회사 발란,온라인 명품 플랫폼(발란몰),2024-10-16~2027-10-15
ISMS,ISMS-KISA-2024-110,에프알엘코리아 주식회사,에프알엘코리아 대외 서비스 운영(심사받지 않은 물리적 인프라 제외),2024-10-16~2027-10-15
ISMS-P,ISMS-P-KISA-2024-033,롯데면세점제주 주식회사,롯데면세점 제주 고객관리 서비스,2024-10-02~2027-10-01
ISMS-P,ISMS-P-KISA-2024-032,롯데부산면세점,롯데부산면세점 고객관리 서비스,2024-10-02~2027-10-01
ISMS-P,ISMS-P-KISA-2024-031,(주) 호텔롯데 롯데면세점,"롯데면세점 공항/시내 영업점 및 인터넷 서비스(인터넷면세점, 럭스몰) 운영",2024-10-02~2027-10-01
ISMS,ISMS-KISA-2024-109,텔스트라서비스코리아 주식회사,해외회선 임대서비스(심사 받지 않은 물리적 인프라 제외),2024-10-02~2027-10-01
ISMS,ISMS-KISA-2024-108,아이티엑스코리아(주),"ZARA, Massimo Dutti, ZARA HOME 온라인 쇼핑몰 운영 (심사받지 않은 물리적 인프라 제외)",2024-10-02~2027-10-01
ISMS,ISMS-KISA-2024-107,(주)스마일게이트홀딩스 메가포트지점,"게임서비스(퍼블리싱 및 플랫폼) 및 온라인서비스(대표홈페이지, p.pool 등) 운영(심사받지 않은 물리적 인프라 제외)",2024-10-02~2027-10-01
ISMS-P,ISMS-P-FSI-2024-012,나이스평가정보,"CB, NICE지키미 및 NICE아이디 서비스(휴대폰 본인확인 수탁업무 제외)(심사받지 않은 물리적 인프라 제외)",2024-09-26~2027-09-25
ISMS,ISMS-FSI-2024-006,(주)국민은행,Liiv M 가상이동통신망(MVNO) 시스템 운영(심사 받지 않은 물리적 인프라 제외),2024-09-26~2027-09-25
ISMS,ISMS-FSI-2024-005,케이비신용정보 주식회사,공인전자문서 서비스 운영,2024-09-26~2027-09-25
ISMS-P,ISMS-P-KISA-2024-030,에쓰오일(S-OIL)(주),"에쓰-오일 보너스카드 및 포인트서비스, 대표홈페이지",2024-09-19~2027-09-18
ISMS,ISMS-KISA-2024-106,주식회사 쿠캣,"온라인 쇼핑몰 운영(쿠캣마켓, 쿠캣마켓 비즈몰)(심사받지 않은 물리적 인프라 제외)",2024-09-19~2027-09-18
ISMS,ISMS-KISA-2024-105,(주)휴먼컨설팅그룹,"통합 인적자원관리 서비스(talenx, hunel, JaDE)",2024-09-19~2027-09-18
ISMS,ISMS-KISA-2024-104,한국교직원공제회,"회원업무 서비스(홈페이지, 공제, 보험) 운영",2024-09-19~2027-09-18
ISMS,ISMS-KISA-2024-103,넛지헬스케어 주식회사,"캐시워크 모바일 서비스 운영(모두의 챌린지, 캐시톡, 캐시딜, 팀워크, 캐시웨어, 커뮤니티, 동네산책)(심사받지 않은 물리적 인프라 제외)",2024-09-19~2027-09-18
ISMS,ISMS-KISA-2024-102,에쓰오일(S-OIL)(주),에쓰-오일 e-Biz 시스템,2024-09-19~2027-09-18
ISMS,ISMS-KISA-2024-101,주식회사 아이비김영,온라인 교육 서비스 운영,2024-09-19~2027-09-18
ISMS,ISMS-KISA-2024-100,(주)진학어플라이,국내 원서접수 대행 서비스,2024-09-19~2027-09-18
ISMS-P,ISMS-P-KISA-2024-029,(주)포스코이앤씨,"분양관리·고객지원시스템(e-bluet) 및 대외 홈페이지(더샵, 대표홈페이지) 운영",2024-09-04~2027-09-03
ISMS,ISMS-KISA-2024-099,아슈리온코리아(유),휴대폰 기술 상담 및 지원 서비스,2024-09-04~2027-09-03
ISMS,ISMS-KISA-2024-098,피엠인터내셔널코리아 유한회사,온라인 쇼핑몰 서비스(피엠인터내셔널코리아) 운영,2024-09-04~2027-09-03
ISMS,ISMS-KISA-2024-097,주식회사 나무경영아카데미,온라인 교육 서비스(나무경영아카데미),2024-09-04~2027-09-03
ISMS,ISMS-KISA-2024-096,삼성전자서비스주식회사,삼성전자서비스 홈페이지 및 소모품샵 관련 서비스,2024-09-04~2027-09-03
ISMS,ISMS-KISA-2024-095,(주)바로크레디트대부,바로바로론 서비스,2024-09-04~2027-09-03
ISMS,ISMS-KISA-2024-094,한화호텔앤드리조트,한화호텔앤드리조트 인터넷 예약 시스템 운영,2024-09-04~2027-09-03
ISMS,ISMS-KISA-2024-093,신성통상(주),굿웨어몰 온라인 서비스,2024-09-04~2027-09-03
ISMS,ISMS-FSI-2024-004,케이지이니시스,"전자지불(PG) 및 신용카드 중계(VAN), 스마트상점서비스 운영 (심사받지 않은 물리적 인프라 제외)",2024-08-27~2027-08-26
ISMS-P,ISMS-P-KISA-2024-028,주식회사 에이치디정션,트루닥 전자의무기록 플랫폼 서비스,2024-08-21~2027-08-20
ISMS-P,ISMS-P-KISA-2024-027,주식회사 코빗,가상자산 거래소 서비스 운영(코빗),2024-08-21~2027-08-20
ISMS,ISMS-KISA-2024-092,주식회사 케이피모바일,메시지 발송 서비스 운영(다보냄),2024-08-21~2027-08-20
ISMS,ISMS-KISA-2024-091,주식회사 포리스닥스코리아리미티드,가상자산거래소(크립토닷컴 코리아 앱) 서비스 운영(심사받지않은 물리적 인프라 제외),2024-08-21~2027-08-20
ISMS,ISMS-KISA-2024-090,(주)판촉사랑,온라인 쇼핑몰 서비스 운영(판촉사랑),2024-08-21~2027-08-20
ISMS,ISMS-KISA-2024-089,강릉아산병원,의료정보시스템(OCS/EMR) 및 홈페이지 서비스 운영,2024-08-21~2027-08-20
